Year,Title,Journal,Authors,Cite,Source
2011,Observation of nano-scale dynamics of materials using soft x-ray laser probe,unknown,"T Kawachi, A Sasaki, H Hasegawa, M Ishino, M Nishikino, T Imazono, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Q3-QASNKTMEC
2011,Extreme field limits in the ultra-relativistic interaction of electromagnetic waves with plasmas,"X-Ray Lasers 2010, 151-181, 2011","SV Bulanov, TZ Esirkepov, M Kando, JK Koga, AS Pirozhkov, Y Kato, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Nw_I7GeUguwC
2011,Generation of coherent X-ray radiation with relativistic nonlinear processes,"X-Ray Lasers 2010, 183-193, 2011","Y Kato, M Kando, AS Pirozhkov, TZ Esirkepov, K Kawase, H Daido, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:inmFHauC9wsC
2011,Source development and novel applications of laser-driven plasma X-ray lasers in JAEA,"X-Ray Lasers 2010, 15-24, 2011","T Kawachi, N Hasegawa, M Nishikino, M Ishino, T Imazono, T Ohba, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:nWoA1JPTheMC
2011,"26pGZ-4 極限高強度場による粒子と光子の加速 (26pGZ 領域 2, ビーム物理領域, 理論核物理領域, 実験核物理領域 合同シンポジウム: 極限高強度場の科学 Extremely-High Field Science, ビーム物理 …","日本物理学会講演概要集 66, 142, 2011","ET Zh, M KANDO, K Koga James, H Kotaki, T Morita, T Nakamura",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:TlpoogIpr_IC
2011,Ion Acceleration in Subcritical Density Plasma via Interaction of Intense Laser Pulse with Cluster-Gas Target,"Progress in Ultrafast Intense Laser Science VII, 225-240, 2011","Y Fukuda, AY Faenov, M Tampo, TA Pikuz, T Nakamura, M Kando, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Aul-kAQHnToC
2011,On the design of experiments for the study of extreme field limits in the interaction of laser with ultrarelativistic electron beam,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators …, 2011","SV Bulanov, TZ Esirkepov, Y Hayashi, M Kando, H Kiriyama, JK Koga, ...",84,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:hCrLmN-GePgC
2011,Extreme field science,"Plasma Physics and Controlled Fusion 53 (12), 124025, 2011","SV Bulanov, TZ Esirkepov, Y Hayashi, M Kando, H Kiriyama, JK Koga, ...",9,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:nPTYJWkExTIC
2011,Lorentz-Abraham-Dirac versus Landau-Lifshitz radiation friction force in the ultrarelativistic electron interaction with electromagnetic wave (exact solutions),"Physical Review E 84 (5), 056605, 2011","SV Bulanov, TZ Esirkepov, M Kando, JK Koga, SS Bulanov",99,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:yqoGN6RLRZoC
2011,Phase-locked ions and foil transparency in the radiation pressure acceleration regime,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators …, 2011","F Pegoraro, SV Bulanov, TZ Esirkepov, M Kando, EY Echkina, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:43bX7VzcjpAC
